name,action probability,planned,used planner,used plan lib,time planning,time checking plan lib,total time,plan lib size
problem_office_07.pddl,0.7,41,41,0,73.71157121658325,0,73.71157121658325,0
problem_office_07.pddl,0.7,45,45,0,86.81551361083984,0,86.81551361083984,0
problem_office_07.pddl,0.7,45,45,0,79.27979755401611,0,79.27979755401611,0
problem_office_07.pddl,0.7,46,46,0,134.33485651016235,0,134.33485651016235,0
problem_office_07.pddl,0.7,16,16,0,67.30119347572328,0,67.30119347572328,0
problem_office_07.pddl,0.7,36,36,0,75.19478774070741,0,75.19478774070741,0
problem_office_07.pddl,0.7,37,37,0,73.32975816726685,0,73.32975816726685,0
problem_office_07.pddl,0.7,50,50,0,127.87082076072693,0,127.87082076072693,0
problem_office_07.pddl,0.7,36,36,0,88.57058715820312,0,88.57058715820312,0
problem_office_07.pddl,0.7,58,58,0,113.6012885570526,0,113.6012885570526,0
problem_office_07.pddl,0.7,26,26,0,106.38973259925842,0,106.38973259925842,0
problem_office_07.pddl,0.7,45,45,0,98.16122817993164,0,98.16122817993164,0
problem_office_07.pddl,0.7,29,29,0,74.66629242897035,0,74.66629242897035,0
problem_office_07.pddl,0.7,28,28,0,44.67074060440064,0,44.67074060440064,0
problem_office_07.pddl,0.7,37,37,0,95.85506629943848,0,95.85506629943848,0
problem_office_07.pddl,0.7,41,41,0,132.16362380981442,0,132.16362380981442,0
problem_office_07.pddl,0.7,45,45,0,102.83265805244446,0,102.83265805244446,0
problem_office_07.pddl,0.7,31,31,0,76.76127123832704,0,76.76127123832704,0
problem_office_07.pddl,0.7,41,41,0,103.8117413520813,0,103.8117413520813,0
problem_office_07.pddl,0.7,44,44,0,71.46720385551454,0,71.46720385551454,0
problem_office_07.pddl,0.7,70,70,0,135.77042317390442,0,135.77042317390442,0
problem_office_07.pddl,0.7,47,47,0,119.66967296600342,0,119.66967296600342,0
problem_office_07.pddl,0.7,32,32,0,79.78526306152344,0,79.78526306152344,0
problem_office_07.pddl,0.7,31,31,0,72.51678323745729,0,72.51678323745729,0
problem_office_07.pddl,0.7,44,44,0,67.50046253204346,0,67.50046253204346,0
problem_office_07.pddl,0.7,45,45,0,117.92748284339905,0,117.92748284339905,0
problem_office_07.pddl,0.7,27,27,0,49.51156044006348,0,49.51156044006348,0
problem_office_07.pddl,0.7,31,31,0,66.93197989463806,0,66.93197989463806,0
problem_office_07.pddl,0.7,54,54,0,142.43301439285278,0,142.43301439285278,0
problem_office_07.pddl,0.7,45,45,0,100.76327848434448,0,100.76327848434448,0
problem_office_07.pddl,0.7,16,16,0,96.43413090705872,0,96.43413090705872,0
problem_office_07.pddl,0.7,47,47,0,151.33076143264768,0,151.33076143264768,0
problem_office_07.pddl,0.7,46,46,0,72.16955900192261,0,72.16955900192261,0
problem_office_07.pddl,0.7,50,50,0,64.63658261299132,0,64.63658261299132,0
problem_office_07.pddl,0.7,45,45,0,66.93598484992981,0,66.93598484992981,0
problem_office_07.pddl,0.7,27,27,0,84.76274085044861,0,84.76274085044861,0
problem_office_07.pddl,0.7,42,42,0,74.55063891410828,0,74.55063891410828,0
