name,action probability,planned,used planner,used plan lib,time planning,time checking plan lib,total time,plan lib size
problem_office_14.pddl,0.7,38,28,10,36.04865479469299,0.09600520133972168,36.14465999603272,29
problem_office_14.pddl,0.7,40,28,12,33.12671160697937,0.3238699436187744,33.450581550598145,57
problem_office_14.pddl,0.7,40,26,14,38.5946307182312,0.4741642475128174,39.068794965744026,83
problem_office_14.pddl,0.7,36,20,16,15.018735885620115,0.5542056560516357,15.572941541671753,103
problem_office_14.pddl,0.7,55,35,20,44.78971481323242,0.9490711688995358,45.73878598213196,138
problem_office_14.pddl,0.7,53,33,20,36.58985495567322,1.144503116607666,37.734358072280884,171
problem_office_14.pddl,0.7,60,38,22,24.365490913391113,1.6834099292755127,26.048900842666626,209
problem_office_14.pddl,0.7,38,25,13,19.07292437553405,1.108299970626831,20.181224346160885,234
problem_office_14.pddl,0.7,32,24,8,15.939609289169312,1.2907156944274902,17.2303249835968,258
problem_office_14.pddl,0.7,56,36,20,38.06036496162415,2.0035276412963867,40.06389260292053,294
problem_office_14.pddl,0.7,52,34,18,33.02210259437561,2.309058427810669,35.33116102218628,328
problem_office_14.pddl,0.7,38,21,17,13.743832349777222,1.8938305377960205,15.637662887573242,349
problem_office_14.pddl,0.7,23,14,9,14.752277374267578,1.0939576625823977,15.846235036849976,363
problem_office_14.pddl,0.7,26,14,12,11.480475425720215,1.0902376174926758,12.57071304321289,377
problem_office_14.pddl,0.7,36,20,16,22.654213190078732,1.4863021373748782,24.14051532745361,397
problem_office_14.pddl,0.7,39,16,23,10.977558851242065,1.9555463790893561,12.933105230331421,413
problem_office_14.pddl,0.7,31,15,16,11.693225860595705,1.5359501838684082,13.229176044464113,428
problem_office_14.pddl,0.7,57,35,22,29.764718055725087,3.27553653717041,33.040254592895515,463
problem_office_14.pddl,0.7,44,22,22,15.708096027374268,2.7375423908233643,18.445638418197632,485
problem_office_14.pddl,0.7,42,19,23,24.80939602851868,2.1542770862579346,26.96367311477661,504
problem_office_14.pddl,0.7,28,12,16,9.401822805404665,1.5671253204345703,10.968948125839233,516
problem_office_14.pddl,0.7,51,28,23,20.877843618392944,2.8691680431365967,23.74701166152954,544
problem_office_14.pddl,0.7,37,23,14,16.966604948043823,2.59439468383789,19.560999631881714,567
problem_office_14.pddl,0.7,49,23,26,15.986915588378904,3.363494873046875,19.35041046142578,590
problem_office_14.pddl,0.7,40,24,16,23.93474674224853,3.074560165405273,27.00930690765381,614
problem_office_14.pddl,0.7,38,27,11,26.81970453262329,3.1073589324951167,29.927063465118408,641
problem_office_14.pddl,0.7,31,20,11,7.094230175018311,2.6227774620056152,9.717007637023926,661
problem_office_14.pddl,0.7,47,20,27,15.874561071395874,3.463050365447998,19.337611436843872,681
problem_office_14.pddl,0.7,39,15,24,8.79371190071106,2.701237678527832,11.494949579238892,696
problem_office_14.pddl,0.7,48,23,25,25.15787148475647,4.407396078109741,29.56526756286621,719
problem_office_14.pddl,0.6,80,49,31,52.30005860328674,0.3712506294250488,52.67130923271179,50
problem_office_14.pddl,0.6,59,33,26,24.70907974243164,0.5333461761474609,25.2424259185791,83
problem_office_14.pddl,0.6,48,30,18,25.32162952423096,0.6440184116363525,25.96564793586731,113
problem_office_14.pddl,0.6,61,39,22,39.74404716491699,1.0496811866760254,40.79372835159303,152
problem_office_14.pddl,0.6,60,33,27,40.301861763000495,1.3404059410095217,41.64226770401001,185
problem_office_14.pddl,0.6,75,41,34,36.45311427116393,2.1735196113586426,38.626633882522576,226
problem_office_14.pddl,0.6,73,34,39,35.66736197471619,2.0576732158660893,37.72503519058228,260
problem_office_14.pddl,0.6,54,29,25,29.93293738365173,1.942976236343384,31.87591361999512,289
problem_office_14.pddl,0.6,57,28,29,16.656160593032837,2.194756031036377,18.85091662406921,317
problem_office_14.pddl,0.6,43,26,17,21.919209957122803,2.2329726219177246,24.15218257904053,343
problem_office_14.pddl,0.6,72,37,35,36.72303557395935,3.019617319107056,39.742652893066406,380
problem_office_14.pddl,0.6,55,36,19,56.94521141052246,2.5058064460754395,59.4510178565979,379
problem_office_14.pddl,0.6,56,29,27,27.94273018836975,2.707794189453125,30.65052437782288,408
problem_office_14.pddl,0.6,69,41,28,52.21523690223694,4.1857168674468985,56.400953769683845,449
problem_office_14.pddl,0.9,9,8,1,16.161014795303345,0.007066011428833008,16.168080806732178,9
problem_office_14.pddl,0.9,13,11,2,11.081356525421144,0.04225778579711914,11.123614311218262,20
problem_office_14.pddl,0.9,11,7,4,4.3391640186309814,0.04338169097900391,4.3825457096099845,27
problem_office_14.pddl,0.9,15,11,4,15.115869283676147,0.0950319766998291,15.210901260375975,38
problem_office_14.pddl,0.9,11,7,4,5.2005789279937735,0.06825447082519531,5.26883339881897,45
problem_office_14.pddl,0.9,8,5,3,5.0816171169281015,0.062495231628417976,5.144112348556519,50
