name,action probability,planned,used planner,used plan lib,time planning,time checking plan lib,total time,plan lib size
problem_office_03.pddl,0.7,10,9,1,7.637904405593872,0.009816884994506836,7.647721290588379,10
problem_office_03.pddl,0.7,29,17,12,11.998289346694946,0.12719488143920898,12.125484228134155,27
problem_office_03.pddl,0.7,22,17,5,10.5818772315979,0.168931245803833,10.750808477401733,44
problem_office_03.pddl,0.7,14,7,7,3.637728214263916,0.09788632392883301,3.7356145381927486,51
problem_office_03.pddl,0.7,16,8,8,5.0860679149627686,0.1474306583404541,5.233498573303223,59
problem_office_03.pddl,0.7,21,6,15,5.364643812179565,0.14087677001953125,5.505520582199097,65
problem_office_03.pddl,0.7,18,5,13,1.81441593170166,0.13748908042907715,1.9519050121307373,70
problem_office_03.pddl,0.7,20,4,16,2.698091983795166,0.1733865737915039,2.87147855758667,74
problem_office_03.pddl,0.7,15,4,11,1.7140259742736816,0.1304469108581543,1.844472885131836,78
problem_office_03.pddl,0.7,25,8,17,2.252253293991089,0.2914762496948242,2.543729543685913,86
problem_office_03.pddl,0.7,24,5,19,3.4807205200195312,0.2192821502685547,3.7000026702880864,91
problem_office_03.pddl,0.7,38,23,15,9.72460412979126,0.6281223297119141,10.352726459503174,114
problem_office_03.pddl,0.7,11,3,8,0.9794142246246338,0.15593528747558594,1.1353495121002195,117
problem_office_03.pddl,0.7,18,3,15,0.3785078525543213,0.2502460479736328,0.6287539005279541,120
problem_office_03.pddl,0.7,19,3,16,1.6841671466827393,0.2491710186004639,1.9333381652832031,123
problem_office_03.pddl,0.7,15,3,12,0.3982377052307129,0.2379770278930664,0.6362147331237793,126
problem_office_03.pddl,0.7,16,5,11,1.1072118282318115,0.2619674205780029,1.3691792488098145,131
problem_office_03.pddl,0.7,34,11,23,5.942058801651001,0.6195414066314697,6.561600208282473,142
problem_office_03.pddl,0.7,24,6,18,2.1507270336151123,0.4028935432434082,2.5536205768585205,148
problem_office_03.pddl,0.7,30,10,20,3.63300895690918,0.5556607246398926,4.188669681549071,158
problem_office_03.pddl,0.7,22,1,21,0.17447495460510254,0.31468701362609863,0.4891619682312012,159
problem_office_03.pddl,0.7,31,10,21,4.238740921020509,0.6034607887268066,4.8422017097473145,169
problem_office_03.pddl,0.6,55,36,19,27.44661355018616,0.2059266567230225,27.65254020690918,37
problem_office_03.pddl,0.6,31,18,13,14.34061884880066,0.2571547031402588,14.597773551940918,55
problem_office_03.pddl,0.6,34,14,20,8.795632123947144,0.308042049407959,9.103674173355104,69
problem_office_03.pddl,0.6,20,8,12,3.9646713733673096,0.2091112136840821,4.1737825870513925,77
problem_office_03.pddl,0.6,35,15,20,7.125173807144165,0.4206066131591797,7.545780420303345,92
problem_office_03.pddl,0.6,61,12,49,7.310800075531006,0.6797611713409424,7.990561246871947,104
problem_office_03.pddl,0.6,39,17,22,6.249640226364138,0.5527858734130859,6.802426099777223,121
problem_office_03.pddl,0.6,28,12,16,5.699844121932983,0.39672231674194336,6.096566438674928,133
problem_office_03.pddl,0.6,42,10,32,3.9519057273864746,0.7020909786224365,4.653996706008911,143
problem_office_03.pddl,0.6,48,10,38,3.2816483974456787,0.849736213684082,4.131384611129762,153
problem_office_03.pddl,0.6,59,30,29,13.033788919448853,1.4632885456085205,14.497077465057373,183
problem_office_03.pddl,0.6,27,2,25,0.7815942764282227,0.5240626335144043,1.305656909942627,185
problem_office_03.pddl,0.6,28,3,25,0.4205372333526611,0.4670565128326416,0.8875937461853027,188
problem_office_03.pddl,0.6,29,1,28,0.36600613594055176,0.3040022850036621,0.6700084209442139,189
problem_office_03.pddl,0.6,16,1,15,0.11576104164123535,0.2918272018432617,0.40758824348449707,190
problem_office_03.pddl,0.6,35,3,32,0.612900972366333,0.4486784934997559,1.0615794658660889,193
problem_office_03.pddl,0.6,32,14,18,2.614840507507324,0.7669651508331299,3.3818056583404537,207
problem_office_03.pddl,0.6,42,14,28,4.910167455673218,1.0783495903015137,5.9885170459747314,221
problem_office_03.pddl,0.6,29,2,27,0.7896728515625,0.6560425758361816,1.4457154273986816,223
problem_office_03.pddl,0.6,37,10,27,3.11769437789917,0.7964322566986084,3.9141266345977774,233
problem_office_03.pddl,0.6,39,10,29,1.894510269165039,1.0114932060241701,2.906003475189209,243
problem_office_03.pddl,0.6,36,12,24,2.7642862796783447,0.9806246757507324,3.7449109554290767,255
problem_office_03.pddl,0.6,20,1,19,0.16816186904907227,0.3447508811950684,0.5129127502441406,256
problem_office_03.pddl,0.6,32,6,26,1.4820489883422852,0.8986034393310547,2.38065242767334,262
problem_office_03.pddl,0.6,18,0,18,0.0,0.5035240650177002,0.5035240650177002,262
problem_office_03.pddl,0.6,35,6,29,1.391852855682373,0.9425230026245116,2.3343758583068848,268
problem_office_03.pddl,0.6,37,1,36,0.3773291110992432,0.7486906051635742,1.1260197162628174,269
problem_office_03.pddl,0.8,8,8,0,5.268409729003906,0.00846409797668457,5.276873826980591,9
