name,action probability,planned,used planner,used plan lib,time planning,time checking plan lib,total time,plan lib size
problem_office_18.pddl,0.7,45,45,0,88.61966776847841,0,88.61966776847841,0
problem_office_18.pddl,0.7,45,45,0,136.3703255653381,0,136.3703255653381,0
problem_office_18.pddl,0.7,53,53,0,168.4583601951599,0,168.4583601951599,0
problem_office_18.pddl,0.7,42,42,0,82.17151522636415,0,82.17151522636415,0
problem_office_18.pddl,0.7,56,56,0,165.9687969684601,0,165.9687969684601,0
problem_office_18.pddl,0.7,47,47,0,98.99141621589659,0,98.99141621589659,0
problem_office_18.pddl,0.7,64,64,0,132.68440055847168,0,132.68440055847168,0
problem_office_18.pddl,0.7,36,36,0,99.79782676696777,0,99.79782676696777,0
problem_office_18.pddl,0.7,35,35,0,105.07017254829408,0,105.07017254829408,0
problem_office_18.pddl,0.7,48,48,0,164.18313932418826,0,164.18313932418826,0
problem_office_18.pddl,0.7,34,34,0,56.670693635940545,0,56.670693635940545,0
problem_office_18.pddl,0.7,51,51,0,114.64234256744385,0,114.64234256744385,0
problem_office_18.pddl,0.7,55,55,0,118.63883423805237,0,118.63883423805237,0
problem_office_18.pddl,0.7,42,42,0,105.17731881141664,0,105.17731881141664,0
problem_office_18.pddl,0.7,49,49,0,103.59630489349364,0,103.59630489349364,0
problem_office_18.pddl,0.7,67,67,0,189.65691542625427,0,189.65691542625427,0
problem_office_18.pddl,0.7,51,51,0,219.84953784942627,0,219.84953784942627,0
problem_office_18.pddl,0.7,33,33,0,65.48306035995482,0,65.48306035995482,0
problem_office_18.pddl,0.7,39,39,0,184.68264818191528,0,184.68264818191528,0
problem_office_18.pddl,0.7,32,32,0,92.1419517993927,0,92.1419517993927,0
problem_office_18.pddl,0.7,39,39,0,113.01008319854736,0,113.01008319854736,0
problem_office_18.pddl,0.7,39,39,0,168.71834111213684,0,168.71834111213684,0
problem_office_18.pddl,0.7,43,43,0,129.83976554870605,0,129.83976554870605,0
problem_office_18.pddl,0.6,50,50,0,180.2005512714386,0,180.2005512714386,0
problem_office_18.pddl,0.6,48,48,0,158.54177427291867,0,158.54177427291867,0
problem_office_18.pddl,0.6,47,47,0,145.15649652481082,0,145.15649652481082,0
problem_office_18.pddl,0.6,63,63,0,152.20230054855347,0,152.20230054855347,0
problem_office_18.pddl,0.6,67,67,0,173.5689880847931,0,173.5689880847931,0
problem_office_18.pddl,0.6,69,69,0,148.72341108322144,0,148.72341108322144,0
problem_office_18.pddl,0.8,30,30,0,72.32603144645691,0,72.32603144645691,0
problem_office_18.pddl,0.8,27,27,0,103.44939160346985,0,103.44939160346985,0
problem_office_18.pddl,0.8,35,35,0,116.12563514709473,0,116.12563514709473,0
problem_office_18.pddl,0.8,37,37,0,82.54026579856874,0,82.54026579856874,0
problem_office_18.pddl,0.8,26,26,0,64.76252603530885,0,64.76252603530885,0
problem_office_18.pddl,0.8,24,24,0,99.31075739860536,0,99.31075739860536,0
problem_office_18.pddl,0.8,30,30,0,124.75312328338623,0,124.75312328338623,0
problem_office_18.pddl,0.8,22,22,0,37.61089730262756,0,37.61089730262756,0
