name,action probability,planned,used planner,used plan lib,time planning,time checking plan lib,total time,plan lib size
problem_office_18.pddl,0.7,45,45,0,88.61966776847841,0,88.61966776847841,0
problem_office_18.pddl,0.7,45,45,0,136.3703255653381,0,136.3703255653381,0
problem_office_18.pddl,0.7,53,53,0,168.4583601951599,0,168.4583601951599,0
problem_office_18.pddl,0.7,42,42,0,82.17151522636415,0,82.17151522636415,0
problem_office_18.pddl,0.7,56,56,0,165.9687969684601,0,165.9687969684601,0
problem_office_18.pddl,0.7,47,47,0,98.99141621589659,0,98.99141621589659,0
problem_office_18.pddl,0.7,64,64,0,132.68440055847168,0,132.68440055847168,0
problem_office_18.pddl,0.7,36,36,0,99.79782676696777,0,99.79782676696777,0
problem_office_18.pddl,0.7,35,35,0,105.07017254829408,0,105.07017254829408,0
problem_office_18.pddl,0.7,48,48,0,164.18313932418826,0,164.18313932418826,0
problem_office_18.pddl,0.7,34,34,0,56.670693635940545,0,56.670693635940545,0
problem_office_18.pddl,0.7,51,51,0,114.64234256744385,0,114.64234256744385,0
problem_office_18.pddl,0.7,55,55,0,118.63883423805237,0,118.63883423805237,0
problem_office_18.pddl,0.7,42,42,0,105.17731881141664,0,105.17731881141664,0
problem_office_18.pddl,0.7,49,49,0,103.59630489349365,0,103.59630489349365,0
